10540: Registrerte arbeidsledige (prosent), etter alder, måned, statistikkvariabel og region;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alder;måned;statistikkvariabel;1101 Eigersund;1102 Sandnes (-2019);1103 Stavanger;1106 Haugesund;1111 Sokndal;1112 Lund;1114 Bjerkreim;1119 Hå;1120 Klepp;1121 Time;1122 Gjesdal;1124 Sola;1127 Randaberg;1129 Forsand (-2019);1130 Strand;1133 Hjelmeland;1134 Suldal;1135 Sauda;1141 Finnøy (-2019);1142 Rennesøy (-2019);1144 Kvitsøy;1145 Bokn;1146 Tysvær;1149 Karmøy;1151 Utsira;1154 Vindafjord (1965-2005)
15-74 år;2002M05;Registrert helt arbeidsledige;2.0;02.sep;03.jul;04.mar;02.jul;01.feb;01.jan;01.feb;01.aug;01.sep;01.aug;02.jun;01.sep;01.aug;3.0;02.feb;01.mai;10.jul;01.feb;01.mar;3.0;02.mar;02.mai;03.jun;05.jul;01.mar
15-74 år;2002M06;Registrert helt arbeidsledige;01.jul;02.sep;03.sep;04.apr;02.jul;01.jan;01.jan;01.mar;01.sep;01.sep;01.aug;02.jun;02.mar;01.jun;03.jan;01.mai;01.jun;03.jul;0.8;01.apr;3.0;2.0;02.jun;03.sep;04.aug;01.mar
15-74 år;2002M07;Registrert helt arbeidsledige;02.apr;03.mar;04.mar;04.sep;03.jul;01.aug;01.jan;01.jun;02.jan;02.mar;02.feb;3.0;02.apr;01.aug;03.jun;01.mar;01.jun;03.sep;01.feb;01.aug;02.feb;2.0;03.feb;04.apr;04.aug;01.apr
15-74 år;2002M08;Registrert helt arbeidsledige;02.apr;03.apr;04.apr;04.jun;03.apr;01.aug;01.mai;01.jul;02.jan;02.mar;02.feb;03.mar;02.feb;02.jan;03.mai;01.mai;01.jul;03.apr;1.0;01.jun;03.apr;02.mai;02.aug;04.feb;03.feb;01.mai
15-74 år;2002M09;Registrert helt arbeidsledige;02.jan;03.feb;04.jan;04.apr;3.0;01.aug;01.feb;01.aug;02.jan;02.jan;01.aug;03.mar;02.jan;03.jan;03.jan;01.jun;01.jul;03.apr;01.mar;01.mai;01.sep;01.aug;02.jun;03.aug;07.mar;01.mai
15-74 år;2002M10;Registrert helt arbeidsledige;02.jan;03.mar;04.feb;04.feb;03.apr;01.jun;01.apr;01.jul;2.0;2.0;02.mar;03.jan;02.mar;02.jul;03.apr;02.aug;01.sep;03.jun;01.jun;01.jun;02.feb;02.mar;02.jul;03.sep;05.jul;01.mar
15-74 år;2002M11;Registrert helt arbeidsledige;3.0;03.feb;04.feb;04.mar;03.sep;01.aug;01.jul;01.apr;01.sep;02.feb;02.mai;03.mar;02.mai;02.mai;03.aug;01.aug;01.sep;03.jun;01.apr;01.jun;01.mai;02.mar;02.jul;03.jul;04.aug;01.mai
15-74 år;2002M12;Registrert helt arbeidsledige;02.sep;03.mar;04.feb;04.mar;04.jan;01.mai;01.aug;01.jun;2.0;02.jan;02.jul;03.jan;02.jun;02.mar;04.aug;01.aug;01.aug;03.mar;01.mai;01.jun;01.mai;02.mai;02.aug;04.jan;02.apr;01.mar
15-29 år;1999M01;Registrert helt arbeidsledige;2.0;02.aug;03.feb;02.jul;5.0;01.jul;01.mai;01.feb;02.mai;2.0;01.aug;01.aug;01.apr;04.sep;02.sep;0.9;02.feb;6.0;0.0;01.mai;0.0;0.0;02.jan;03.feb;0.0;01.jun
15-29 år;1999M02;Registrert helt arbeidsledige;01.aug;02.jul;3.0;03.mar;03.aug;01.mai;01.sep;01.jan;02.feb;01.sep;01.apr;01.mai;1.0;02.aug;02.sep;01.feb;01.apr;04.jun;0.3;0.6;0.0;0.7;02.jan;03.jan;03.jan;01.mar
